variant,scenario,seed,physical_error_rate,logical_error_rate,decoding_latency_ms,computational_complexity,memory_usage_records,adaptation_speed
A-BA-QEC,depolarizing,20260817,0.63,0.63,0.9978699072962627,278.32,14,400
A-BA-QEC,asymmetric,20260818,0.515,0.515,0.8927244355436414,230.76,10,400
A-BA-QEC,temporal_correlation,20260819,0.485,0.485,0.8704819018021226,221.8,3,400
A-BA-QEC,burst_errors,20260820,0.4225,0.4225,0.7868913060519844,189.08,9,400
A-BA-QEC,progressive_drift,20260821,0.7325,0.7325,1.0423983230430167,299.2,19,400
A-BA-QEC,abrupt_regime_change,20260822,0.69,0.69,0.9585241638706066,262.04,22,400
A-BA-QEC,hardware_inspired,20260823,0.47,0.47,0.8305018287501298,208.36,9,400
A-BA-QEC - Noise Genome,depolarizing,20260817,0.63,0.63,0.8154903317335993,301.36,14,400
A-BA-QEC - Noise Genome,asymmetric,20260818,0.515,0.515,0.6786045673652552,237.16,10,400
A-BA-QEC - Noise Genome,temporal_correlation,20260819,0.485,0.485,0.6442096807586495,227.2,3,400
A-BA-QEC - Noise Genome,burst_errors,20260820,0.4225,0.4225,0.5931478075217456,189.08,9,400
A-BA-QEC - Noise Genome,progressive_drift,20260821,0.7325,0.7325,0.8356497831118759,303.68,19,400
A-BA-QEC - Noise Genome,abrupt_regime_change,20260822,0.69,0.69,0.7162590182269923,262.04,22,400
A-BA-QEC - Noise Genome,hardware_inspired,20260823,0.47,0.47,0.6008493633999024,209.72,9,400
A-BA-QEC - Immune Memory,depolarizing,20260817,0.63,0.63,1.073954625899205,347.2,0,400
A-BA-QEC - Immune Memory,asymmetric,20260818,0.515,0.515,1.0667105599713977,343.2,0,400
A-BA-QEC - Immune Memory,temporal_correlation,20260819,0.485,0.485,0.9960192724247463,312.0,0,400
A-BA-QEC - Immune Memory,burst_errors,20260820,0.4225,0.4225,1.0006190663261805,315.2,0,400
A-BA-QEC - Immune Memory,progressive_drift,20260821,0.7325,0.7325,1.0331910887907725,328.8,0,400
A-BA-QEC - Immune Memory,abrupt_regime_change,20260822,0.69,0.69,1.0109045657736715,319.2,0,400
A-BA-QEC - Immune Memory,hardware_inspired,20260823,0.47,0.47,1.0309627623064443,332.0,0,400
A-BA-QEC - Mutation,depolarizing,20260817,0.63,0.63,0.380434664839413,32.0,14,400
A-BA-QEC - Mutation,asymmetric,20260818,0.515,0.515,0.38641240127617493,32.0,10,400
A-BA-QEC - Mutation,temporal_correlation,20260819,0.485,0.485,0.38101276353700086,32.0,3,400
A-BA-QEC - Mutation,burst_errors,20260820,0.4225,0.4225,0.3822106428560801,32.0,9,400
A-BA-QEC - Mutation,progressive_drift,20260821,0.7325,0.7325,0.3839171461004298,32.0,19,400
A-BA-QEC - Mutation,abrupt_regime_change,20260822,0.69,0.69,0.38675866948324256,32.0,22,400
A-BA-QEC - Mutation,hardware_inspired,20260823,0.47,0.47,0.38653696625260636,32.0,9,400
A-BA-QEC - Homeostasis,depolarizing,20260817,0.63,0.63,0.5704404243442696,107.72,14,400
A-BA-QEC - Homeostasis,asymmetric,20260818,0.515,0.515,0.5651088569720741,104.96,10,400
A-BA-QEC - Homeostasis,temporal_correlation,20260819,0.485,0.485,0.5616209120489657,104.88,3,400
A-BA-QEC - Homeostasis,burst_errors,20260820,0.4225,0.4225,0.5610688011802267,103.08,9,400
A-BA-QEC - Homeostasis,progressive_drift,20260821,0.7325,0.7325,0.5835901794489473,109.4,19,400
A-BA-QEC - Homeostasis,abrupt_regime_change,20260822,0.69,0.69,0.5723449536890257,107.24,22,400
A-BA-QEC - Homeostasis,hardware_inspired,20260823,0.47,0.47,0.5629536131164059,103.76,9,400
A-BA-QEC - Attention,depolarizing,20260817,0.63,0.63,0.9623983009078074,278.32,14,400
A-BA-QEC - Attention,asymmetric,20260818,0.515,0.515,0.8679564543126617,230.76,10,400
A-BA-QEC - Attention,temporal_correlation,20260819,0.485,0.485,0.8442210219800472,221.8,3,400
A-BA-QEC - Attention,burst_errors,20260820,0.4225,0.4225,0.7709535067260731,189.08,9,400
A-BA-QEC - Attention,progressive_drift,20260821,0.7325,0.7325,1.0261479996552225,299.2,19,400
A-BA-QEC - Attention,abrupt_regime_change,20260822,0.69,0.69,0.9368138949503191,262.04,22,400
A-BA-QEC - Attention,hardware_inspired,20260823,0.47,0.47,0.8157070135348476,208.36,9,400
